tenure_months,usage_frequency,payment_method,complaints,discount_used_pct,plan_type,monthly_charges,churn
7,7,2,0,39,0,199,0
20,6,2,4,26,0,299,0
15,12,2,1,20,1,99,0
11,7,3,2,4,2,299,0
8,11,3,1,60,1,199,0
21,11,2,0,34,1,199,0
7,8,2,2,20,0,199,0
19,7,2,2,3,2,99,0
23,9,1,0,48,2,299,0
11,9,2,2,47,1,99,0
11,10,2,1,15,2,99,0
24,13,0,1,56,1,299,0
21,5,3,0,30,1,199,0
4,9,2,2,25,2,299,0
8,8,2,0,51,2,199,1
24,7,2,2,34,0,99,0
3,6,3,2,5,0,299,0
22,5,1,0,32,2,99,0
21,9,2,0,20,0,299,0
2,6,3,0,15,2,99,0
24,4,2,2,46,0,299,1
12,7,2,0,38,2,99,0
6,6,2,0,33,2,199,0
2,3,1,0,41,1,299,1
21,10,2,0,56,2,199,0
1,11,2,3,59,0,199,1
12,8,2,1,14,1,299,0
22,4,2,0,5,0,199,0
12,5,3,1,1,1,299,0
17,11,2,1,23,0,199,0
10,6,2,0,55,2,99,1
16,9,1,0,48,1,99,1
15,7,3,1,27,0,99,0
15,9,3,2,0,2,99,0
19,7,1,2,0,0,199,0
12,12,2,1,27,1,99,0
23,11,3,0,35,0,99,0
20,7,1,5,19,0,99,0
3,5,2,2,47,0,299,1
5,7,0,1,7,2,199,0
19,10,2,1,0,0,99,0
7,10,0,1,25,2,299,0
21,3,3,0,50,0,99,1
9,11,1,1,42,1,299,0
7,9,0,1,48,0,199,0
18,9,3,0,24,0,99,0
4,9,2,0,9,0,199,1
14,10,2,1,11,1,199,0
18,6,2,1,40,1,199,0
9,10,2,0,6,1,299,0
21,14,3,0,60,1,99,0
2,8,2,0,11,0,99,0
20,11,2,2,46,1,99,0
15,7,1,0,39,0,99,0
7,5,3,0,16,1,99,0
12,7,2,2,4,1,299,0
8,9,2,1,13,0,99,0
15,8,2,0,33,1,199,0
3,10,1,1,47,2,199,1
14,9,2,1,60,1,299,0
17,9,1,1,16,0,299,0
4,5,2,1,34,2,199,0
18,5,2,3,54,0,299,1
8,8,0,1,0,1,199,0
4,8,2,0,58,0,299,1
2,3,2,0,49,0,199,1
6,4,2,0,49,2,99,0
22,8,1,1,35,2,199,0
10,9,1,1,14,1,199,0
4,8,2,1,59,2,99,1
22,8,2,0,18,1,99,0
18,9,2,1,50,1,199,1
12,7,1,3,41,2,299,0
2,11,3,0,4,1,99,0
10,10,1,0,18,1,199,0
4,10,1,0,42,1,199,0
14,9,2,0,38,0,299,0
16,6,2,1,4,0,299,0
15,5,2,2,51,0,199,0
8,9,2,0,11,1,199,0
14,6,2,0,18,0,99,0
23,5,1,1,46,2,199,0
8,8,1,1,11,2,199,0
21,9,0,2,35,1,299,0
16,12,2,0,11,2,199,0
13,8,1,0,17,0,99,0
18,14,3,1,48,1,199,0
15,3,1,0,50,1,99,1
21,6,2,0,47,1,99,0
24,8,2,0,42,0,99,1
13,10,2,1,33,1,99,0
9,4,2,1,47,0,299,1
15,6,3,2,32,1,99,0
13,9,2,1,48,2,99,0
1,7,2,0,17,1,299,1
7,11,3,1,60,2,99,0
9,11,3,1,60,2,99,1
24,8,1,1,56,1,99,1
1,10,1,1,28,0,99,1
12,8,2,1,44,1,99,1
8,5,2,0,4,2,99,0
24,5,2,1,24,0,199,0
11,12,1,2,23,1,99,0
19,7,0,0,28,1,99,0
17,13,2,1,58,1,299,1
8,6,1,1,37,2,199,0
3,7,2,0,32,0,299,0
3,12,1,0,9,2,199,0
1,8,2,0,36,1,99,1
5,12,2,0,59,1,199,1
10,3,3,0,32,2,99,0
7,9,1,2,22,1,99,0
9,6,1,2,57,2,199,0
7,6,2,2,10,1,199,0
9,8,2,0,23,1,199,0
8,8,2,0,23,0,299,0
12,6,3,1,6,2,99,0
2,5,0,1,49,2,199,1
1,9,2,1,20,1,199,0
16,11,2,0,19,1,299,0
23,7,3,0,52,0,299,0
23,9,2,0,9,0,299,0
24,4,1,0,24,0,99,1
5,4,2,1,46,1,199,1
3,6,3,0,35,2,99,1
12,4,1,1,47,0,99,0
8,10,3,2,46,2,299,0
22,10,3,0,14,0,99,0
3,9,2,0,43,0,299,1
1,15,3,2,39,2,99,1
3,7,3,1,39,0,299,0
5,13,2,2,49,2,99,0
15,5,2,2,5,2,99,0
14,10,2,0,36,0,99,0
3,7,1,1,1,0,199,0
1,11,2,1,11,1,99,1
5,7,1,1,57,1,199,1
23,10,2,0,3,1,99,0
14,9,3,2,22,1,99,0
7,12,2,0,12,1,99,0
9,5,2,0,16,1,199,0
15,6,1,0,30,1,299,0
15,8,1,0,15,0,299,0
10,11,2,2,40,1,99,0
13,5,2,2,25,1,199,0
