tenure_months,usage_frequency,payment_method,complaints,discount_used_pct,plan_type,monthly_charges,churn
7,7,UPI,0,39,Basic,199,0
20,6,UPI,4,26,Basic,299,0
15,12,UPI,1,20,Free,99,0
11,7,Wallet,2,4,Premium,299,0
8,11,Wallet,1,60,Free,199,0
21,11,UPI,0,34,Free,199,0
7,8,UPI,2,20,Basic,199,0
19,7,UPI,2,3,Premium,99,0
23,9,Card,0,48,Premium,299,0
11,9,UPI,2,47,Free,99,0
11,10,UPI,1,15,Premium,99,0
24,13,COD,1,56,Free,299,0
21,5,Wallet,0,30,Free,199,0
4,9,UPI,2,25,Premium,299,0
8,8,UPI,0,51,Premium,199,1
24,7,UPI,2,34,Basic,99,0
3,6,Wallet,2,5,Basic,299,0
22,5,Card,0,32,Premium,99,0
21,9,UPI,0,20,Basic,299,0
2,6,Wallet,0,15,Premium,99,0
24,4,UPI,2,46,Basic,299,1
12,7,UPI,0,38,Premium,99,0
6,6,UPI,0,33,Premium,199,0
2,3,Card,0,41,Free,299,1
21,10,UPI,0,56,Premium,199,0
1,11,UPI,3,59,Basic,199,1
12,8,UPI,1,14,Free,299,0
22,4,UPI,0,5,Basic,199,0
12,5,Wallet,1,1,Free,299,0
17,11,UPI,1,23,Basic,199,0
10,6,UPI,0,55,Premium,99,1
16,9,Card,0,48,Free,99,1
15,7,Wallet,1,27,Basic,99,0
15,9,Wallet,2,0,Premium,99,0
19,7,Card,2,0,Basic,199,0
12,12,UPI,1,27,Free,99,0
23,11,Wallet,0,35,Basic,99,0
20,7,Card,5,19,Basic,99,0
3,5,UPI,2,47,Basic,299,1
5,7,COD,1,7,Premium,199,0
19,10,UPI,1,0,Basic,99,0
7,10,COD,1,25,Premium,299,0
21,3,Wallet,0,50,Basic,99,1
9,11,Card,1,42,Free,299,0
7,9,COD,1,48,Basic,199,0
18,9,Wallet,0,24,Basic,99,0
4,9,UPI,0,9,Basic,199,1
14,10,UPI,1,11,Free,199,0
18,6,UPI,1,40,Free,199,0
9,10,UPI,0,6,Free,299,0
21,14,Wallet,0,60,Free,99,0
2,8,UPI,0,11,Basic,99,0
20,11,UPI,2,46,Free,99,0
15,7,Card,0,39,Basic,99,0
7,5,Wallet,0,16,Free,99,0
12,7,UPI,2,4,Free,299,0
8,9,UPI,1,13,Basic,99,0
15,8,UPI,0,33,Free,199,0
3,10,Card,1,47,Premium,199,1
14,9,UPI,1,60,Free,299,0
17,9,Card,1,16,Basic,299,0
4,5,UPI,1,34,Premium,199,0
18,5,UPI,3,54,Basic,299,1
8,8,COD,1,0,Free,199,0
4,8,UPI,0,58,Basic,299,1
2,3,UPI,0,49,Basic,199,1
6,4,UPI,0,49,Premium,99,0
22,8,Card,1,35,Premium,199,0
10,9,Card,1,14,Free,199,0
4,8,UPI,1,59,Premium,99,1
22,8,UPI,0,18,Free,99,0
18,9,UPI,1,50,Free,199,1
12,7,Card,3,41,Premium,299,0
2,11,Wallet,0,4,Free,99,0
10,10,Card,0,18,Free,199,0
4,10,Card,0,42,Free,199,0
14,9,UPI,0,38,Basic,299,0
16,6,UPI,1,4,Basic,299,0
15,5,UPI,2,51,Basic,199,0
8,9,UPI,0,11,Free,199,0
14,6,UPI,0,18,Basic,99,0
23,5,Card,1,46,Premium,199,0
8,8,Card,1,11,Premium,199,0
21,9,COD,2,35,Free,299,0
16,12,UPI,0,11,Premium,199,0
13,8,Card,0,17,Basic,99,0
18,14,Wallet,1,48,Free,199,0
15,3,Card,0,50,Free,99,1
21,6,UPI,0,47,Free,99,0
24,8,UPI,0,42,Basic,99,1
13,10,UPI,1,33,Free,99,0
9,4,UPI,1,47,Basic,299,1
15,6,Wallet,2,32,Free,99,0
13,9,UPI,1,48,Premium,99,0
1,7,UPI,0,17,Free,299,1
7,11,Wallet,1,60,Premium,99,0
9,11,Wallet,1,60,Premium,99,1
24,8,Card,1,56,Free,99,1
1,10,Card,1,28,Basic,99,1
12,8,UPI,1,44,Free,99,1
8,5,UPI,0,4,Premium,99,0
24,5,UPI,1,24,Basic,199,0
11,12,Card,2,23,Free,99,0
19,7,COD,0,28,Free,99,0
17,13,UPI,1,58,Free,299,1
8,6,Card,1,37,Premium,199,0
3,7,UPI,0,32,Basic,299,0
3,12,Card,0,9,Premium,199,0
1,8,UPI,0,36,Free,99,1
5,12,UPI,0,59,Free,199,1
10,3,Wallet,0,32,Premium,99,0
7,9,Card,2,22,Free,99,0
9,6,Card,2,57,Premium,199,0
7,6,UPI,2,10,Free,199,0
9,8,UPI,0,23,Free,199,0
8,8,UPI,0,23,Basic,299,0
12,6,Wallet,1,6,Premium,99,0
2,5,COD,1,49,Premium,199,1
1,9,UPI,1,20,Free,199,0
16,11,UPI,0,19,Free,299,0
23,7,Wallet,0,52,Basic,299,0
23,9,UPI,0,9,Basic,299,0
24,4,Card,0,24,Basic,99,1
5,4,UPI,1,46,Free,199,1
3,6,Wallet,0,35,Premium,99,1
12,4,Card,1,47,Basic,99,0
8,10,Wallet,2,46,Premium,299,0
22,10,Wallet,0,14,Basic,99,0
3,9,UPI,0,43,Basic,299,1
1,15,Wallet,2,39,Premium,99,1
3,7,Wallet,1,39,Basic,299,0
5,13,UPI,2,49,Premium,99,0
15,5,UPI,2,5,Premium,99,0
14,10,UPI,0,36,Basic,99,0
3,7,Card,1,1,Basic,199,0
1,11,UPI,1,11,Free,99,1
5,7,Card,1,57,Free,199,1
23,10,UPI,0,3,Free,99,0
